idx,id,stratum,source_entity,target_entity,qual_score,independent_sources,evidence_excerpt,core120b_decision,core120b_conf,core120b_rationale,slm8b_decision,slm8b_conf,slm8b_rationale,nemotron_decision,nemotron_conf,nemotron_rationale,gptoss_decision,gptoss_conf,gptoss_rationale
0,13073f00-9330-46d9-91b4-4e8a5b10f95e,S0_floor,Board of Peace,Tel Aviv,0.1402,1,"Farewell to arms? — <p>PALESTINIAN resistance group Hamas recently <a href=""https://www.dawn.com/news/2019668"">made a major concession </a>by agreeing to give up its weapons. It should be remembered that along with its political activities, the movement has an armed wing dedicated to the liberation ",HostileTo,0.6,"Board of Peace, Hamas member, controls Gaza opposing Tel Aviv.",REJECT,,No direct relationship between Board of Peace and Tel Aviv,REJECT,,No meaningful relationship between Board of Peace and Tel Aviv,REJECT,,No direct link between Board of Peace and Tel Aviv.
1,1afe8297-3bc1-4758-8472-d968801434fb,S0_floor,Idaho,Tyson,0.1123,1,"‎Mother who publicly claimed vaccines killed her 18-month-old twins is now accused of murdering them, with prosecutors alleging she suffocated both children — <img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/132278903.cms"" style=""margin-top: 3px; margin-right: ",REJECT,,Only murder case mentioned; no link to Tyson.,REJECT,,Idaho and Tyson are unrelated entities,REJECT,,No meaningful relationship between Idaho and Tyson,REJECT,,Idaho and Tyson not linked in evidence.
2,1c74fc4a-8076-4214-a763-00d6d3512003,S0_floor,East Siberian River Steamship Company,Sibirsk,0.1123,1,**Крупнейшая судоходная компания Иркутской области **[**отменяет**](https://bit.ly/meduzamirror#/news/2026/07/02/krupneyshaya-sudohodnaya-kompaniya-irkutskoy-oblasti-otmenyaet-reysy-iz-za-toplivnogo-krizisa?utm_source=tg_live&utm_medium=post_ru)** рейсы из-за топливного кризиса ** Крупнейшая судоход,REJECT,,No evidence connecting company to Sibirsk.,REJECT,,No direct relationship between East Siberian River Steamship Company and Sibirsk,OperatesIn,0.8,Company operates in Sibirsk region,REJECT,,No mention of Sibirsk with the company.
3,2198058e-f002-494c-98e0-423a007dcdaf,S0_floor,IRGC,Revolutionary Guards Corps,0.1253,1,US Military Says Latest Strikes Target Iran's Revolutionary Guards Corps — The US military said it launched dozens of strikes against targets linked to Iran's powerful Islamic Revolutionary Guards Corps (IRGC) in response to Iranian attacks on American troops in Jordan after President Donald Trump h,AffiliatedWith,0.9,IRGC and Revolutionary Guards Corps are synonymous entities.,HostileTo,0.85,US Military targets IRGC in response to Iranian attacks,AffiliatedWith,0.95,IRGC is the Revolutionary Guards Corps,REJECT,,"IRGC and Revolutionary Guards Corps are synonymous, not a relationship."
4,57571172-e2a1-44a0-b7ff-56918ba08f71,S0_floor,Trump,almost four months,0.0223,1,"**Согласие Трампа на худой мир с Ираном выглядит как поражение США. Но является ли им на самом деле? ** Большая война на Ближнем Востоке растянулась почти на четыре месяца — и промежуточно завершается перемирием, на первый взгляд выгодным прежде всего Ирану. США не свергли режим аятолл, не лишили пр",REJECT,,Time phrase not an entity; no relationship.,REJECT,,No direct relationship between Trump and almost four months,REJECT,,No meaningful relationship between Trump and time period,REJECT,,Trump not related to time phrase.
5,5a4faab0-9a04-45a0-9d1f-b510efdf2a95,S0_floor,804 PM EDT,Mahoning Creek Lake,0.1123,1,"Severe Thunderstorm Warning issued August 2 at 8:04PM EDT until August 2 at 8:30PM EDT by NWS Pittsburgh PA — At 804 PM EDT, a severe thunderstorm was located 11 miles south of New Bethlehem, or 11 miles east of Kittanning, moving northeast at 25 mph. HAZARD...60 mph wind gusts. SOURCE...Radar indic",REJECT,,Time stamp unrelated to lake.,REJECT,,No direct relationship between 804 PM EDT and Mahoning Creek Lake,REJECT,,No meaningful relationship between timestamp and lake,REJECT,,Time stamp not a relationship to Mahoning Creek Lake.
6,8db2c0b0-c123-4884-863f-3f5329832120,S0_floor,Islamabad,the NCCIA Cybercrime Reporting Centre,0.1253,1,IHC tells NCCIA to provide journalist Asad Toor with details of allegations against him — <p>ISLAMABAD: The Islamabad High Court (IHC) on Friday directed the National Cyber Crime Investigation Agency (NCCIA) to provide vlogger and journalist Asad Toor with details of the allegations against him in c,ConductedVia,0.6,Islamabad High Court directed NCCIA to provide information.,REJECT,,Islamabad and the NCCIA Cybercrime Reporting Centre are unrelated entities,LocatedIn,0.85,NCCIA is based in Islamabad,REJECT,,No direct relation between Islamabad city and NCCIA.
7,955a7a52-4b45-49de-9043-1e80a115f263,S0_floor,Central Ben Hill County,Georgia,0.1123,1,Flash Flood Warning issued August 1 at 4:37PM EDT until August 1 at 7:45PM EDT by NWS Tallahassee FL — FFWTAE The National Weather Service in Tallahassee has issued a * Flash Flood Warning for... Central Ben Hill County in south central Georgia... Northwestern Berrien County in south central Georgia,LocatedIn,0.9,County located within the state of Georgia.,REJECT,,"Central Ben Hill County and Georgia are part of the same geographic region, but no direct relationship",LocatedIn,0.9,County is located within Georgia state,LocatedIn,0.7,County lies within the state of Georgia.
8,95c69d7e-6db4-44b1-9c78-bbda3e51cd79,S0_floor,Alexey Likhachev,Units 7 and,0.1123,1,"**China's Tianwan NPP will become the world's largest nuclear power plant after the commissioning of its seventh and eighth power units,** Rosatom CEO Alexey Likhachev told Russian journalists. “Once Units 7 and 8 at Tianwan come online, the plant will become the largest in the world. Eight gigawatt",OperatesIn,0.7,"Likhachev, Rosatom spokesperson, discusses operation of nuclear units.",OperatesIn,0.85,"Alexey Likhachev is CEO of Rosatom, which operates Units 7 and 8",ConductedVia,0.85,Likhachev announced commissioning of units,AffiliatedWith,0.7,"Likhachev, as Rosatom spokesperson, discusses the units."
9,978270a1-617a-4f37-a7ef-0089e9cf7a82,S0_floor,the Council of the International Maritime Organization,the International Maritime Organization,0.1123,1,"International Maritime Organization commends Iranian ship for rescuing 73 People in Mediterranean Sea — London, IRNA – At its latest meeting, the Council of the International Maritime Organization (IMO) deemed the Iranian vessel Negar and its crew worthy of special commendation for rescuing 73 peopl",PartOf,0.9,Council is a body within IMO.,MemberOf,0.85,The Council is a part of the International Maritime Organization,PartOf,0.95,Council is part of IMO,PartOf,0.9,Council is a body within IMO.
